"id","question_pattern","answer_text","topic","is_active","approval_status","reviewed_at","notes"
"","我住在高雄","了解，那可以先以高雄館為主幫您安排。高雄館地址是高雄市左營區博愛三路101號；若您願意，也可以直接告訴我想了解的療程，以及 3 個方便時段，我先幫您整理預約方向。","branch","true","approved","2026-06-29","stable_demo_faq"
"","你們主打什麼療程","您好～目前順風常見主打可先從十蓓電波、美國音波 2.0、Q+音波這三個方向理解；若您是想改善鬆弛、輪廓線條、嘴邊肉或雙下巴，也可以先告訴我在意的部位，我幫您整理適合先了解的方向。","sound_wave","true","approved","2026-06-29","stable_demo_faq"
"","十蓓電波是什麼","您好～十蓓電波可先理解為緊實與輪廓管理的評估方向之一，常見會用在鬆弛、嘴邊肉、下顎線等整體規劃；實際安排仍會依您的部位狀況與醫師評估為主。若您願意，也可以先告訴我最在意的部位，我幫您整理後續方向。","sound_wave","true","approved","2026-06-29","stable_demo_faq"
"","美國音波2.0是什麼","您好～美國音波 2.0 可先理解為拉提緊實類的評估方向之一，常見會用在輪廓線條、鬆弛改善與整體拉提規劃；實際是否適合您、要怎麼安排，還是會依部位狀況與醫師評估為主。若您願意，也可以先告訴我想改善的部位，我幫您整理後續方向。","sound_wave","true","approved","2026-06-29","stable_demo_faq"
"","Q+音波是什麼","Q+音波可先理解為緊實、拉提與輪廓評估方向之一，常見會搭配整體老化鬆弛與線條規劃做討論；實際是否適合您，還是會依部位狀況與醫師評估為主。若您願意，也可以先告訴我想改善的部位，我幫您整理方向。","sound_wave","true","approved","2026-06-29","stable_demo_faq"
"","ONDA PRO 是什麼","ONDA PRO 可先理解為體態與局部輪廓管理的評估方向之一，常見會用在局部線條與脂肪型困擾的規劃；實際怎麼安排仍會依您的部位狀況與醫師評估為主。若您願意，也可以先告訴我在意的部位，我幫您整理方向。","onda","true","approved","2026-06-29","stable_demo_faq"
"","探索皮秒是什麼","探索皮秒可先理解為膚況、色素與整體膚質管理的評估方向之一；若是否要搭配蜂巢、光纖或其他規劃，仍會依您的膚況與醫師評估為主。若您願意，也可以先告訴我在意的膚況，我幫您整理後續方向。","laser","true","approved","2026-06-29","stable_demo_faq"
"","你們的皮秒是探索皮秒嗎","您好～目前院內皮秒方向可先理解為探索皮秒，也可依膚況評估是否搭配蜂巢等規劃；若您願意，也可以先告訴我在意的膚況，我幫您整理後續方向。","laser","true","approved","2026-06-29","stable_demo_faq"
"","你們的肉毒是什麼牌子","您好～目前順風常見可提供的肉毒品牌包含 BOTOX、Neuronox 優力柔，以及 Dysport 儷緻；實際會使用哪一種，仍會依醫師評估、部位需求與現場安排為主。若您願意，也可以告訴我想改善的部位，我先幫您整理方向。","injectable","true","approved","2026-06-29","stable_demo_faq"
"","肉毒品牌有哪些","您好～目前順風常見可提供的肉毒品牌包含 BOTOX、Neuronox 優力柔，以及 Dysport 儷緻；若您方便，也可以先告訴我想改善的部位與需求，我幫您整理後續方向。","injectable","true","approved","2026-06-29","stable_demo_faq"
"","你們玻尿酸有哪些品牌","您好～目前院內常見可評估的玻尿酸與相關填充方向，包含喬雅登、緹奧希 1 到 3 號、緹奧希 4 號、瑞斯朗 Restylane、瑞斯朗 Vital Light、貝恩希、金色仙女、再生針，以及雙美膠原蛋白；實際安排仍會依部位需求與醫師評估為主。","injectable","true","approved","2026-06-29","stable_demo_faq"
"","玻尿酸品牌有哪些","您好～目前院內常見可評估的玻尿酸與相關填充方向，包含喬雅登、緹奧希 1 到 3 號、緹奧希 4 號、瑞斯朗 Restylane、瑞斯朗 Vital Light、貝恩希、金色仙女、再生針，以及雙美膠原蛋白；若您願意，也可以告訴我想改善的部位，我幫您整理方向。","injectable","true","approved","2026-06-29","stable_demo_faq"
"","你們有水光針嗎","您好～目前院內有水光針相關療程可做評估；至於實際配方、搭配與施作安排，通常會以現場膚況評估與醫師建議為主。若您願意，也可以先告訴我在意的膚況，我幫您整理方向。","skin_care","true","approved","2026-06-29","stable_demo_faq"
"","你們有美白點滴嗎","您好～目前院內有美白點滴相關方向可做評估；至於實際配方與安排，通常會以現場評估與醫師建議為主。若您願意，也可以先告訴我想改善的方向，我幫您整理後續安排。","skin_care","true","approved","2026-06-29","stable_demo_faq"
"","你們除毛是什麼機型","您好～目前順風常見可評估的除毛機型包含亞歷山大與海神；實際會依部位、毛髮狀況與現場評估安排。若您願意，也可以先告訴我想處理的部位，我幫您整理方向。","hair_removal","true","approved","2026-06-29","stable_demo_faq"
"","除毛機型有哪些","您好～目前順風常見可評估的除毛機型包含亞歷山大與海神；若您方便，也可以先告訴我想處理的部位，我幫您整理後續方向。","hair_removal","true","approved","2026-06-29","stable_demo_faq"
"","你們可以幫我做什麼","目前我可以先協助您回答基本問題，例如付款方式、部分療程基本資訊、肉毒或玻尿酸品牌、除毛機型，以及預約前的第一層整理；若您願意，也可以直接告訴我想了解的療程、方便的館別，以及 3 個方便時段，我先幫您整理預約方向。","general","true","approved","2026-06-29","stable_demo_faq"
"","海芙有嗎","您好～目前院內可先優先理解的主打方向是十蓓電波、美國音波 2.0、Q+音波；若您原本是在看拉提、緊實、輪廓線條或嘴邊肉相關評估，也可以先告訴我在意的部位，我幫您整理較接近的方向。","sound_wave","true","approved","2026-06-29","stable_demo_faq"
